Type,Type_specific,Species,Tag,Location of capture,d15N,d13C,percN,percC,Collector,Year collected,Yr_restore,Rest_age,Burn,Sex,Age,Repro,Weight_g,tl_mm,rhf_mm,bl_mm,month,day,Bison,C_N
Small mammal,,P.leu,2430,WH,4.68,-23.78,13.39,45.94,Angelica B,2019,1992,27,Burned,M,A,NA,24,72,18,52,6,17,Bison,3.430918596
Small mammal,,P.man,2431,SBEX2,6.37,-19.55,13.53,46.26,Angelica B,2019,2009,10,Burned,F,A,PL,28,55,17,52,6,18,No bison,3.419068736
Small mammal,,P.leu,2434,WH,3.82,-23.35,13.03,46.72,Angelica B,2019,1992,27,Burned,F,A,PL,35,65,17,52,6,17,Bison,3.585571757
Small mammal,,P.man,2435,TC,7.28,-12.32,13.53,45.14,Angelica B,2019,2002.5,16.5,Unburned,F,A,PL,36,55,15.5,61,6,17,No bison,3.336289727
Small mammal,,P.man,2436,CCW,5.45,-21.05,12.84,45.32,Angelica B,2019,2008,11,Unburned,M,A,NA,24,53,16,52,6,18,No bison,3.529595016
Small mammal,,P.man,2439,SF,6.32,-21.57,13.29,45.09,Angelica B,2019,2001,18,Burned,M,A,NA,21,51,15,46,6,13,No bison,3.392776524
Small mammal,,P.man,2440,TCR,6.01,-22.46,13.91,44.94,Sarah N,2019,C,50,Unburned,F,A,NA,24.5,57,17,48,8,17,No bison,3.230769231
Small mammal,,P.man,2441,SBEX2,4.05,-22.39,13.08,43.62,Angelica B,2019,2009,10,Burned,F,A,PL,26,58,15,47,6,20,No bison,3.334862385
Small mammal,,P.man,2443,CCWE,3.07,-20.63,13.49,43.44,Angelica B,2019,2008,11,Unburned,M,A,NA,31.5,38,15,55,6,21,No bison,3.220163084
Small mammal,,P.leu,2445,WH,2.74,-25.08,13.17,43.93,Angelica B,2019,1992,27,Burned,M,A,NA,33,73,18.5,56,6,15,Bison,3.335611238
Small mammal,,R.meg,2448,TCR,3.33,-23.75,13.63,45.02,Sarah N,2019,C,50,Unburned,F,A,NA,17.5,61,16,43,8,17,No bison,3.30300807
Small mammal,,P.leu,2514,HL,5.13,-15.7,13.71,45.38,Angelica B,2016,2001,15,Unburned,F,A,L,38,79,18,69,8,3,Bison,3.309992706
