Type,Species,Tag,Year,Location,Burn,Bison,d15N,d13C
Small mammal,P.man,3216,2018,HL,Burned,Bison,4.43,-22.05
Small mammal,P.man,3218,2018,HF,Burned,Bison,2.45,-24.58
Small mammal,P.man,3220,2018,SBEX1,Unburned,No bison,8.07,-19.04
Small mammal,P.man,3222,2018,HF,Burned,Bison,6.28,-24.01
Small mammal,P.leu,3223,2018,CCW,Burned,No bison,4.93,-22.25
Small mammal,P.man,3706,2018,HF,Burned,Bison,4.9,-22.57
Small mammal,P.man,3747,2017,SB,Unburned,No bison,2.75,-22.92
Small mammal,P.leu,5235,2019,SB,Burned,No bison,8.19,-16.02
Small mammal,P.man,6902,2019,TCR,Unburned,No bison,5.88,-20.7
Small mammal,P.man,7643,2019,HPN,Unburned,Bison,5.66,-24.38
Small mammal,P.leu,7655,2019,MU,Unburned,Bison,3.52,-24.74
Small mammal,P.man,7656,2019,CCW,Unburned,No bison,4.26,-23.46
Small mammal,P.man,7664,2019,SB,Burned,No bison,6.67,-15.28
Small mammal,R.meg,7674,2019,FC,Unburned,No bison,4.43,-23.62
Small mammal,P.man,7676,2019,TCR,Unburned,No bison,3.1,-23.37
Small mammal,M.och,7680,2019,FC,Unburned,No bison,3.71,-21.95
Small mammal,P.man,7683,2019,CCEE,Burned,No bison,5.91,-21.24
Small mammal,P.man,7684,2019,SF,Burned,No bison,4.1,-18.89
Small mammal,P.man,7691,2019,CCE,Burned,No bison,5.8,-20.79
Small mammal,P.leu,7701,2019,TCR,Unburned,No bison,6.62,-24.55
Small mammal,P.leu,7701,2019,TCR,Unburned,No bison,5.55,-24.29
Small mammal,P.man,7712,2019,CCEE,Burned,No bison,6.17,-20.94
Small mammal,P.man,7717,2019,MUR,Burned,Bison,3.72,-23.03
Small mammal,R.meg,7722,2019,TCE,Unburned,No bison,4.31,-23.21
Small mammal,P.man,7730,2019,TCR,Unburned,No bison,4.7,-21.08
Small mammal,P.man,7733,2019,TC,Unburned,No bison,7.51,-20.23
Small mammal,P.man,8548,2018,CCW,Burned,No bison,8.83,-10.15
Small mammal,P.man,8548,2018,CCW,Burned,No bison,8.21,-11.24
Small mammal,P.man,8556,2018,HL,Burned,Bison,2.88,-21.13
Small mammal,P.leu,8573,2018,L,Unburned,Bison,6.59,-22.47
Small mammal,P.man,8597,2018,TCR,Burned,No bison,8.38,-9.95
Small mammal,P.man,8615,2017,CCW,Unburned,No bison,4.56,-21.87
Small mammal,P.man,8658,2017,CCW,Unburned,No bison,5.75,-20.94
Small mammal,Z.hud,8703,2017,CCE,Burned,No bison,5.57,-21.16
Small mammal,P.man,8767,2018,TC,Burned,No bison,7.72,-10.52
Small mammal,P.man,9077,2019,CCEE,Burned,No bison,11.02,-24.81
